PWY	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
PWY-6523	2	0	1	1	0	0	0
PWY0-1353	10	9	0	0	0	0	8
CYSTSYN-PWY	6	7	4	5	5	13	8
PWY66-21	19	34	11	17	34	41	47
PWY-5120	0	3	0	1	2	2	1
PWY-5168	0	1	0	0	2	0	1
PWY-5970	0	1	0	0	0	0	0
GLUAMCAT-PWY	0	3	1	2	1	0	1
PWY-6168	4	10	8	3	0	0	0
BETSYN-PWY	2	2	3	1	1	3	3
PPGPPMET-PWY	6	5	3	6	4	5	6
PYRUVOX-PWY	5	6	3	3	1	4	5
PWY-5059	0	0	0	0	1	0	0
ENTNER-DOUDOROFF-PWY	0	0	1	0	0	0	1
ILEUSYN-PWY	10	15	0	0	18	14	0
PWY0-1313	2	4	0	6	7	9	15
PWY-6032	2	2	0	0	0	1	1
12DICHLORETHDEG-PWY	3	0	0	0	4	0	0
PWY-6536	0	8	0	0	0	3	0
PWY-6444	0	0	0	0	0	0	1
HISTSYN-PWY	13	19	9	15	13	24	18
PWY-6466	1	0	0	0	0	0	2
GLUTAMATE-SYN2-PWY	1	1	1	2	1	0	3
P181-PWY	0	0	0	0	0	0	2
CATECHOL-ORTHO-CLEAVAGE-PWY	0	0	0	1	0	2	0
PWY-5436	8	21	4	6	18	17	18
GLYCLEAV-PWY	14	0	5	6	10	18	14
PARATHION-DEGRADATION-PWY	0	0	0	0	0	1	1
PWY-6752	2	0	0	1	0	1	1
NAGLIPASYN-PWY	2	4	1	3	5	8	3
GALACTCAT-PWY	1	3	0	0	0	3	4
PWY-5996	4	2	2	2	4	0	4
MENAQUINONESYN-PWY	2	4	0	2	1	1	1
ORN-AMINOPENTANOATE-CAT-PWY	0	1	1	0	2	0	0
PWY0-662	3	2	2	4	3	0	10
PWY-6714	0	0	0	0	2	0	0
NONMEVIPP-PWY	5	0	7	15	19	22	23
PWY-5250	0	3	0	3	2	2	0
GLUCONEO-PWY	22	29	30	20	28	39	41
P162-PWY	0	0	3	0	0	6	12
PWYG-321	10	3	3	2	5	4	8
PWY-6351	0	0	0	0	2	2	0
PWY0-862	10	2	3	1	8	9	11
PWY0-901	0	3	2	3	3	8	2
CHOLINE-BETAINE-ANA-PWY	2	2	3	1	1	3	3
PWY-2161	7	8	0	0	0	0	12
PWY-5654	0	6	1	0	3	3	5
P101-PWY	0	6	0	0	0	4	0
PWY-6759	0	0	0	1	0	2	1
HOMOCYSDEGR-PWY	0	0	0	5	0	0	0
PWY0-1299	0	1	1	0	1	0	0
PWY-5381	13	15	12	15	22	19	15
ALANINE-SYN2-PWY	1	1	2	0	1	0	0
PWY-6147	3	0	3	0	0	3	4
MANNCAT-PWY	2	0	0	0	1	0	2
PWY0-461	0	0	1	0	0	0	1
ASPARAGINE-DEG1-PWY	2	0	1	1	0	3	3
PWY-5691	0	0	0	0	0	0	1
P261-PWY	4	0	0	0	4	0	0
PROSYN-PWY	5	5	4	11	6	8	7
GLUTAMINEFUM-PWY	14	12	8	11	4	11	10
PWY0-501	2	3	1	3	5	3	2
LYSINE-DEG1-PWY	2	0	1	0	1	0	4
FERMENTATION-PWY	55	59	34	35	54	58	69
PWY-6163	6	7	9	9	10	15	15
TRESYN-PWY	0	0	2	0	1	0	4
PWY-6708	5	6	2	4	8	8	4
PWY-5766	1	1	1	2	1	0	3
PWY-6964	21	20	8	19	16	22	22
SALVADEHYPOX-PWY	6	6	0	5	0	10	5
ANAGLYCOLYSIS-PWY	18	0	0	16	0	0	0
DHGLUCONATE-PYR-CAT-PWY	0	4	2	5	3	9	15
PWY-5742	0	0	0	1	0	1	2
PWY-5667	4	2	2	6	6	6	4
PWY-6215	0	0	2	0	0	0	0
HEMESYN2-PWY	11	8	2	5	6	9	5
PWY-4081	5	1	1	2	1	0	0
P621-PWY	0	0	0	0	0	2	0
PWY-5344	1	7	2	3	4	3	2
PWY-723	10	3	4	2	4	2	2
PWY-6603	4	2	1	1	4	0	4
PWY-66	0	7	2	3	4	2	2
PWY0-1334	11	21	0	0	0	0	24
PWY-5367	9	0	0	0	0	0	0
PWY-6654	3	9	0	0	6	0	0
PWY-6943	2	2	0	0	0	1	1
PWY-6576	1	2	0	2	5	3	5
PWY-6021	0	0	1	0	0	0	1
PWY-6848	0	0	0	0	0	2	1
PWY0-1312	2	2	2	2	1	2	2
PWY-6610	4	0	0	0	4	0	6
PWY-5686	11	24	15	14	26	36	29
TRIGLSYN-PWY	0	0	3	0	0	0	0
PWY-6196	0	1	0	0	0	0	0
LEUSYN-PWY	15	21	9	24	21	29	20
DTDPRHAMSYN-PWY	6	7	3	2	8	6	4
PWY0-981	3	3	2	0	3	4	1
CRNFORCAT-PWY	3	8	3	11	8	9	10
PHOSPHONOTASE-PWY	0	19	4	4	19	18	18
PWY-6281	0	0	2	0	0	0	2
PWY-735	0	0	0	1	0	1	0
PWY-5651	2	4	1	0	6	6	3
PWY-5973	10	0	0	0	9	11	0
PWY66-373	0	3	3	2	4	4	0
PWY-6478	2	2	1	0	2	0	0
PWY0-823	2	4	0	0	3	0	0
PWY-6535	0	8	0	0	3	3	0
PWY-5659	5	5	1	4	7	6	8
PWY-1269	4	0	0	6	0	0	0
PWY0-42	4	0	0	0	0	3	4
PROUT-PWY	0	0	0	2	0	0	0
PWY-5084	9	11	4	0	0	0	8
PWY-5514	0	6	1	7	0	0	0
PWY-6758	0	0	0	1	0	2	1
PWY-5687	9	4	4	11	18	16	9
PWY-5111	0	1	3	0	1	11	5
PWY-43	0	5	0	0	0	0	0
PWY-4202	0	0	0	4	0	0	0
PWY-6700	5	4	1	10	8	11	3
PWY-6118	3	0	1	4	2	1	3
PWY-4261	3	7	4	5	3	6	6
PWY-6386	0	0	4	8	7	0	13
PWY-5531	0	8	2	9	7	0	6
PWY-6028	0	0	0	0	0	0	16
PWY-6713	0	0	0	0	21	0	0
PWY-3385	0	0	0	0	0	0	1
GLYCINE-SYN2-PWY	1	0	0	1	0	0	2
PWY-6797	3	2	2	0	2	2	0
PWY-2242	0	0	0	1	0	0	0
PWY-6703	4	0	5	0	4	0	3
PWY-5326	0	0	0	0	0	0	1
PWY-4521	0	0	0	0	0	1	0
PWY-5194	0	0	3	1	0	4	2
SERSYN-PWY	5	10	4	6	3	6	6
PWY-6627	6	7	6	3	6	5	6
PWY-6842	9	16	2	6	5	10	9
PWY-6744	0	0	0	1	0	2	1
PWY490-4	2	3	0	4	3	5	5
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	2	1	2	1	2	2	2
PWY-6573	2	4	1	6	4	8	6
NPGLUCAT-PWY	16	13	0	10	6	16	19
PWY-6646	0	1	0	0	1	0	0
PWY-1281	0	0	0	0	0	5	6
PWY-6019	0	1	1	0	0	3	0
PWY-6481	2	0	0	1	0	1	1
PWY4FS-2	0	0	0	0	0	0	1
PWY-5022	2	8	0	0	3	4	8
PWY-5143	11	13	10	10	16	18	20
PWY-6527	0	0	3	0	5	10	7
FAO-PWY	62	80	44	38	67	65	81
PWY-6681	7	18	3	3	17	14	15
KDO-LIPASYN-PWY	1	2	0	0	0	2	1
PWY-2582	2	2	0	0	0	1	1
P561-PWY	1	0	0	0	2	3	0
COBALSYN-PWY	1	0	0	0	0	0	0
PWY-5041	15	7	0	11	10	24	15
PWY-6123	10	0	0	5	0	9	6
PWY-6328	0	0	0	0	2	0	0
PWY-6613	3	0	1	0	3	6	6
PWY-2361	0	0	0	0	0	3	4
PWY-6682	0	0	0	0	0	0	1
PWY-882	0	0	1	0	0	6	0
GLUTORN-PWY	5	7	4	6	13	15	14
PWY-5782	0	1	1	0	0	1	0
PWY-6942	0	0	0	0	0	0	4
GLUCARDEG-PWY	0	3	0	0	0	0	0
PWY-6545	16	13	12	0	0	17	0
PWY-5159	0	1	0	0	2	1	1
PWY-5849	0	0	0	0	1	1	0
PYRIDNUCSAL-PWY	13	15	12	15	22	19	15
HSERMETANA-PWY	0	0	0	9	0	0	0
PWY-5698	2	2	0	1	0	0	1
PWY-5384	0	4	0	4	0	0	0
PWY-6349	0	0	0	0	2	0	0
PWY-581	7	4	2	0	4	4	6
PWY-5080	1	0	0	0	0	1	0
PWY-621	0	4	0	4	4	0	4
PWY-6373	0	1	0	0	0	0	0
PWY-4722	3	9	3	7	10	11	12
PWY-6906	0	0	0	0	3	0	0
PWY-4621	0	1	0	0	3	0	1
TOLUENE-DEG-3-OH-PWY	1	0	0	0	0	0	0
PWY-6710	5	4	0	0	1	0	0
P183-PWY	2	0	0	0	0	1	0
PWY-6193	4	3	1	1	0	3	3
PWY-5852	0	1	0	0	0	1	0
PWY-1042	16	25	21	12	20	29	39
PWY-6620	3	2	1	1	5	1	3
DETOX1-PWY	4	0	2	1	3	1	3
TRPCAT-PWY	2	4	0	0	3	4	2
PWY0-1329	0	8	0	0	6	13	0
PWY-6030	1	0	0	0	0	0	2
PWY-6558	0	0	0	0	0	1	0
FASYN-ELONG-PWY	17	6	5	8	12	17	16
PWY3O-4106	0	0	1	0	0	0	0
PWY-5103	0	0	0	9	0	16	0
P344-PWY	8	10	6	7	13	12	14
PWY-6922	0	0	0	2	0	0	3
PWY-6268	0	0	2	0	0	1	0
GLYCOLYSIS	20	30	0	0	26	0	0
PWY-6717	0	0	0	0	0	1	0
PWY0-166	16	11	11	11	7	12	16
PWY-5791	1	2	0	0	0	2	0
PWY-6772	5	4	1	8	14	15	7
PWY-6387	16	15	4	8	10	13	13
GLUGLNSYN-PWY	14	11	8	17	10	15	14
PWY-6596	7	0	0	6	0	10	7
ARGSPECAT-PWY	0	0	0	0	2	1	4
PWY-6785	0	1	0	0	0	0	0
PWY-842	0	0	0	0	0	0	2
PWY-6343	0	0	1	0	0	1	0
PWY-6137	0	0	0	0	0	0	2
ALANINE-VALINESYN-PWY	4	4	0	0	8	2	4
PYRIDNUCSYN-PWY	9	11	9	8	13	21	8
PWY-6122	14	15	15	16	22	24	22
PWY-6364	1	0	0	0	0	0	0
PWY-6464	2	0	0	0	0	1	0
PWY0-1264	3	5	3	3	7	6	2
GLUTSYN-PWY	14	12	8	11	4	11	10
MALATE-ASPARTATE-SHUTTLE-PWY	0	0	0	0	0	0	13
PWY0-1338	0	0	0	0	1	0	0
PWY-5808	0	0	0	0	2	0	0
PWY-3561	1	0	0	0	0	0	2
PWY0-1275	2	3	1	0	0	0	2
PWY-5656	1	0	0	0	0	0	0
COA-PWY	8	7	2	5	3	1	6
MGLDLCTANA-PWY	0	0	7	0	0	0	20
PWY-6134	0	0	0	0	1	0	0
PWY-5629	1	0	0	0	0	0	1
VALSYN-PWY	17	18	18	10	21	22	22
PWY-6401	0	0	0	0	1	2	0
PWY0-1305	2	1	1	1	0	0	2
PWY-6435	0	1	0	0	1	2	1
KDOSYN-PWY	0	0	0	0	1	0	0
PWY-5669	3	5	2	2	4	3	3
PWY-5754	0	1	0	0	1	2	1
PWY-5994	9	0	0	0	0	0	0
PWY-6018	6	4	0	6	3	6	4
PWY-4061	9	16	2	6	5	10	9
PWY-5486	0	9	6	0	9	0	0
P105-PWY	0	37	26	22	37	36	42
ARGDEG-V-PWY	0	1	1	1	0	1	2
HOMOSER-METSYN-PWY	7	4	4	0	11	23	9
LIPA-CORESYN-PWY	0	0	0	0	0	2	0
P483-PWY	0	1	0	5	1	2	0
PWY1A0-6325	0	1	0	1	1	0	0
PWY-622	0	5	0	5	6	0	0
LIPASYN-PWY	1	0	0	0	0	0	2
PWY-6287	4	1	2	3	0	1	0
PWY-6780	7	10	3	11	8	24	11
CHLOROPHYLL-SYN	12	8	2	9	7	0	6
PWY-6619	0	0	0	0	1	0	0
PWY-5695	3	11	0	6	4	9	5
LEU-DEG2-PWY	8	10	7	0	14	11	10
PWY-301	0	0	1	0	0	0	0
PWY-5697	0	0	0	0	0	1	0
PWY-5104	9	16	11	11	16	14	19
PWY-5138	17	25	12	9	0	0	0
SAM-PWY	4	3	2	1	1	2	5
TOLUENE-DEG-2-OH-PWY	1	0	0	0	0	0	2
PWY0-1479	4	2	6	5	5	7	6
ILEUDEG-PWY	4	9	0	0	10	0	7
PWY-6512	0	0	0	1	0	2	1
PWY-5499	3	2	0	0	1	2	4
UDPNAGSYN-PWY	14	4	4	5	4	6	4
PWY-5789	56	63	30	38	60	68	73
PWY-6515	0	0	0	0	1	0	0
PWY-6120	5	2	0	0	2	0	2
2AMINOBENZDEG-PWY	0	0	0	1	0	0	0
PWY-5097	18	18	0	15	24	14	0
PWY-6894	0	2	1	1	2	2	0
PWY-701	0	1	0	0	0	0	1
PWY-5664	0	3	0	1	6	4	0
P21-PWY	8	6	2	6	10	15	12
PWY-5132	0	0	0	0	2	0	0
PWY-5874	0	1	0	0	0	0	0
PWY-6352	0	0	0	0	2	2	0
P303-PWY	2	0	1	1	0	0	0
PWY-40	2	4	0	0	3	0	0
GLYSYN-THR-PWY	1	3	1	3	1	2	2
BGALACT-PWY	0	1	0	0	0	0	0
PWY-1781	6	0	0	0	0	0	0
PWY-5901	1	2	1	1	0	2	0
PWY-699	2	2	0	0	0	1	1
GLYSYN-ALA-PWY	2	0	0	0	0	2	0
METHANOGENESIS-PWY	1	0	1	1	1	8	1
PWY3O-450	0	0	0	0	1	0	0
PWY0-1337	17	21	10	7	12	16	15
BETA-ALA-DEGRADATION-I-PWY	0	4	1	2	0	6	0
PWY-881	0	0	2	0	1	0	4
PWY-6344	3	0	0	2	2	4	6
PWY66-221	1	0	0	0	3	2	1
PWY-4984	8	12	9	15	17	27	28
1CMET2-PWY	22	0	8	19	16	45	31
PWY-4341	14	11	7	12	4	12	11
PWY-5484	0	0	0	0	0	32	0
PWY-6599	3	0	1	1	0	1	3
PWY-6038	1	0	1	0	2	4	5
PWY-5509	0	7	0	0	5	6	2
PWY1F-467	0	0	0	0	0	0	1
PWY-5677	0	6	0	0	4	3	5
PWY-6855	0	0	1	0	0	0	0
PWY0-1261	4	2	0	0	1	2	2
PWY-5350	0	1	0	0	1	1	3
PWY-6815	0	0	1	0	0	0	0
PWY-6305	0	0	0	3	0	5	6
PWY-6330	0	2	1	0	1	0	0
PWY4FS-4	0	0	0	0	0	0	1
GLYCOCAT-PWY	0	0	0	0	0	0	1
PWY-6050	0	0	0	0	0	0	1
PWY-5674	2	0	3	2	0	0	1
PWY-4601	0	0	0	0	0	1	0
PWY1F-353	2	0	2	0	1	3	0
GLUDEG-I-PWY	0	9	2	2	0	0	3
PWY-6318	3	0	0	0	0	0	3
PWY-5645	0	1	1	0	0	0	2
PWY-5276	0	0	0	0	0	0	1
PWY-6606	6	0	0	0	0	0	0
ARGSYNBSUB-PWY	13	19	13	21	25	40	37
PWY0-44	0	1	0	0	0	0	0
PWY-1001	0	0	0	0	1	0	0
PWY-5517	0	0	0	0	1	0	0
CODH-PWY	20	22	4	23	30	53	31
PWY0-1336	0	0	0	0	0	7	0
PWY-4921	0	0	0	0	0	1	0
PWY-5386	4	3	0	3	0	5	3
PWY-6578	0	0	1	2	2	0	0
ETOH-ACETYLCOA-ANA-PWY	15	25	8	10	25	29	29
PLPSAL-PWY	2	1	3	1	0	3	4
ASPARTATE-DEG1-PWY	5	10	5	3	5	10	0
PWY-5743	20	19	5	20	21	20	23
PWY-5913	65	59	47	45	42	65	61
P321-PWY	0	0	1	0	0	0	0
PWY-6363	1	0	0	0	0	0	0
PWY-4702	5	5	0	0	0	1	1
P562-PWY	5	0	0	0	5	0	4
GALACTUROCAT-PWY	1	1	0	1	0	0	0
PWY-6755	3	0	2	1	0	3	5
PWY-5426	1	0	0	0	0	0	2
PWY-6543	16	2	5	4	3	13	11
PWY-6640	1	0	0	0	0	1	0
PWY-5458	10	24	7	5	0	0	22
GLUCOSE1PMETAB-PWY	3	6	2	6	3	0	0
PWY-5988	6	4	0	6	3	6	4
PWY-6126	38	42	18	29	35	42	42
PWY-5663	0	3	0	1	6	4	0
HOMOSERSYN-PWY	4	5	2	5	15	7	15
PWY-6473	0	0	0	0	3	0	0
REDCITCYC	33	31	0	26	31	32	36
PWY-5907	0	0	0	0	0	0	1
7ALPHADEHYDROX-PWY	0	0	0	0	0	2	0
CALVIN-PWY	0	0	0	0	0	31	0
GLUTDEG-PWY	6	0	0	4	0	11	11
PHENYLALANINE-DEG1-PWY	0	2	1	3	2	2	3
PWY-6829	0	0	0	0	1	0	0
PWY-5690	42	32	29	28	29	41	39
PWY-5783	0	1	0	1	0	5	1
PYRUVDEHYD-PWY	11	13	8	9	8	17	12
PWY0-1301	0	0	0	0	0	1	0
PWY-2781	2	3	0	1	1	1	0
PWY-6754	1	1	0	0	0	0	0
PWY-6457	0	0	0	0	0	0	1
PWY-6139	1	3	2	5	3	6	4
PWY-6693	0	0	0	0	0	0	1
P164-PWY	13	0	0	13	0	0	0
PWY-5123	1	0	0	1	5	1	2
PWY-6672	0	5	1	0	0	0	0
PWY-1361	0	0	2	0	3	2	2
PWY-6908	0	1	1	2	0	0	1
PWY0-1295	0	0	2	0	0	0	2
PWY-6562	0	0	0	0	0	0	10
PWY-6121	14	0	15	16	22	24	22
PWY-6397	7	0	0	2	0	0	0
PWY-6286	0	0	0	1	0	0	1
PWY-5971	9	5	0	0	8	15	10
PWY-1881	6	4	2	7	16	15	9
PWY-1722	5	2	0	2	0	10	5
PWY-5929	0	0	0	0	1	0	0
DAPLYSINESYN-PWY	19	0	11	0	0	0	23
PWY-6816	0	0	1	0	0	0	0
PWY-801	5	4	1	0	5	6	7
PWY-4441	0	1	0	0	0	0	0
TREHALOSESYN-PWY	0	0	2	0	1	0	4
PWY-5188	8	13	7	12	12	12	20
ASPARAGINE-BIOSYNTHESIS	2	1	0	1	6	4	6
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	0	1	0	0	0	1	1
PWY66-378	4	3	1	0	0	0	0
PWY-5162	0	0	0	5	18	17	17
PWY-6461	0	1	0	1	4	2	5
PWY-6839	0	0	0	0	0	0	1
PWY-6857	0	0	1	0	0	0	0
PWY0-1335	0	20	0	0	20	41	0
PWY3DJ-11470	0	3	0	1	1	1	1
PWY-6696	0	0	0	0	17	0	10
PWY-5837	0	0	1	0	0	2	0
PWY-6936	0	0	0	0	0	0	3
TYRSYN	5	3	1	0	1	3	0
P641-PWY	1	0	0	0	1	0	0
THIOREDOX-PWY	0	3	5	0	5	1	4
PWY-702	5	4	2	8	10	18	11
PWY-5630	0	0	0	0	1	0	0
GALACTARDEG-PWY	0	3	3	6	4	4	5
IDNCAT-PWY	1	0	0	0	0	0	0
TOLUENE-DEG-4-OH-PWY	1	0	0	0	0	1	0
PWY66-367	0	0	10	7	20	21	24
PWY66-368	0	0	0	8	16	18	23
NADPHOS-DEPHOS-PWY	0	5	3	0	0	3	4
PWY-6210	0	0	1	0	0	0	0
PWYQT-4429	3	5	0	0	1	3	3
PWY-6946	6	10	5	2	7	10	5
THREONINE-DEG2-PWY	1	3	0	1	1	4	1
PWY-6322	2	2	0	0	2	0	1
BSUBPOLYAMSYN-PWY	0	1	0	1	3	2	6
ARG-GLU-PWY	0	0	0	1	0	0	0
PWY-3461	2	2	0	0	0	0	0
PWY-6614	7	4	0	3	4	3	5
PWY-6649	0	0	1	2	0	0	0
PWY1-3	0	0	9	0	0	0	0
PWY3DJ-35471	6	2	0	3	0	9	11
PWY-5198	1	4	3	1	0	2	6
PWY-6138	0	0	0	5	0	0	3
PWY-5870	0	4	0	2	4	3	0
PWY-5278	0	0	0	6	3	6	9
PWY-6556	0	0	0	1	0	0	0
PWY-5028	4	5	0	3	7	5	4
PWY-6077	0	0	0	1	0	0	0
GLYCEROLMETAB-PWY	0	1	0	0	0	1	0
PWY-2301	5	5	0	0	4	1	3
METH-ACETATE-PWY	11	16	5	16	15	30	17
TYRFUMCAT-PWY	1	2	2	3	2	6	7
PWY-6969	46	36	27	27	37	41	45
PWY-6637	4	4	0	0	4	6	7
