RXN	1_upper_euphotic
URACIL-PRIBOSYLTRANS-RXN	1
2.8.1.6-RXN	2
RXN1G-240	1
NAD-SYNTH-GLN-RXN	3
PYRIDOXAL-4-DEHYDROGENASE-RXN	3
SAICARSYN-RXN	2
NITRITE-REDUCTASE-CYTOCHROME-RXN	2
ASPAMINOTRANS-RXN	5
RXN-8783	2
ASPCARBTRANS-RXN	4
RXN1G-72	1
L-LACTATE-DEHYDROGENASE-RXN	5
GLYCOLATEDEHYDRO-RXN	5
RXN0-1133	5
METHYLMALONYL-COA-MUT-RXN	9
GLUTAMINESYN-RXN	7
GLYCINE--TRNA-LIGASE-RXN	6
CREATININASE-RXN	1
RXN-11316	2
DCTP-DEAM-RXN	1
1.5.1.9-RXN	2
CITSYN-RXN	6
L-ASPARTATE-OXID-RXN	1
GLYCEROL-KIN-RXN	1
RXN0-6478	3
RIB5PISOM-RXN	2
RXN-8991	3
1.10.2.2-RXN	2
RXN1G-469	1
3-ISOPROPYLMALDEHYDROG-RXN	4
3.1.26.5-RXN	4
PREPHENATEDEHYDROG-RXN	2
6.3.4.16-RXN	1
GLUTATHIONE-SYN-RXN	1
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	7
ADCLY-RXN	1
DALADALALIG-RXN	3
DTDPKIN-RXN	4
METHANOL-DEHYDROGENASE-RXN	1
TRYPTOPHAN--TRNA-LIGASE-RXN	2
RXN0-1132	10
FPPSYN-RXN	1
RXN0-5266	1
THRESYN-RXN	1
UDPACYLGLCNACDEACETYL-RXN	1
RXN-11472	2
UDP-NACMUR-ALA-LIG-RXN	2
RXN-11740	1
CMPKI-RXN	1
SUCCINYLDIAMINOPIMTRANS-RXN	1
2-METHYLCITRATE-DEHYDRATASE-RXN	2
RXN-8999	2
GDPKIN-RXN	4
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	4
GCVMULTI-RXN	1
RXN-9722	2
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	1
RXNI-3	1
GDPMANDEHYDRA-RXN	1
RXN-12274	5
RIBOFLAVIN-SYN-RXN	1
GLYOXII-RXN	2
RXN1G-163	1
ARGSUCCINLYA-RXN	3
THREDEHYD-RXN	2
GLUTCYSLIG-RXN	2
BIOTIN-CARBOXYL-RXN	2
GLURS-RXN	3
HISTAMINOTRANS-RXN	1
RXN1G-287	1
AMPSYN-RXN	7
MANNPISOM-RXN	2
ASPARAGHYD-RXN	2
2.7.7.33-RXN	1
RXN0-5224	1
PGLYCDEHYDROG-RXN	2
RXN-5283	1
RXN1G-481	1
CITRYLY-RXN	1
GAPOXNPHOSPHN-RXN	2
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	14
RXN-12000	7
GLUCUROISOM-RXN	3
RXN0-299	3
NAD-KIN-RXN	5
1TRANSKETO-RXN	6
PHOSACETYLTRANS-RXN	2
RXN0-901	1
RXN0-6485	3
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	2
6PFRUCTPHOS-RXN	1
RXN0-308	3
CYSTATHIONINE-BETA-SYNTHASE-RXN	3
XANPRIBOSYLTRAN-RXN	1
LIPIDXSYNTHESIS-RXN	1
DCDPKIN-RXN	4
GLYOHMETRANS-RXN	2
RXN-11322	1
RXN-7737	1
TRYPTOPHAN-23-DIOXYGENASE-RXN	1
RXN-22	3
RXN-5061	1
RXN1G-881	1
RXN-1305	2
PHENYLACETATE--COA-LIGASE-RXN	2
RXN1G-853	1
RXN-710	2
1.8.98.1-RXN	1
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	3
1.1.1.178-RXN	1
GMP-SYN-GLUT-RXN	16
1.11.1.12-RXN	3
6.3.5.7-RXN	8
ISOLEUCINE--TRNA-LIGASE-RXN	12
RXN0-5408	5
RXN1G-182	1
LYSINE--TRNA-LIGASE-RXN	3
CDPDIGLYSYN-RXN	1
L-LACTDEHYDROGFMN-RXN	1
BUTYRYL-COA-DEHYDROGENASE-RXN	1
2.5.1.19-RXN	2
ADOMET-DMK-METHYLTRANSFER-RXN	2
GLUTAMINE--TRNA-LIGASE-RXN	1
ADENOSYLHOMOCYSTEINASE-RXN	8
